Time,rco2,rhumid,rpm10c,rpm25c,rtemp,rtvoc,Aqi
2019-11-28 08:33:00+00:00,429,16.8,0,0.95,24.77,152,0.0
2019-11-28 08:33:00+00:00,429,16.8,0,0.95,24.77,152,0.0
2019-11-28 08:34:00+00:00,429,16.74,0,0.95,24.77,149.9,0.0
2019-11-28 08:34:00+00:00,429,16.74,0,0.95,24.77,149.9,0.0
2019-11-28 08:35:00+00:00,429,16.72,0,0.95,24.76,148.9,0.0
2019-11-28 08:35:00+00:00,429,16.72,0,0.95,24.76,148.9,0.0
2019-11-28 08:35:00+00:00,429,16.72,0,0.95,24.76,148.9,0.0
2019-11-28 08:35:00+00:00,429,16.72,0,0.95,24.76,148.9,0.0
2019-11-28 08:37:00+00:00,427.4,16.58,0,0.95,24.77,146.4,0.0
2019-11-28 08:38:00+00:00,425.7,16.64,0,0.95,24.75,145.6,0.0
2019-11-28 08:38:00+00:00,425.7,16.64,0,0.95,24.75,145.6,0.0
2019-11-28 08:39:00+00:00,425.2,16.65,0,0.95,24.74,146,0.0
2019-11-28 08:39:00+00:00,425.2,16.65,0,0.95,24.74,146,0.0
2019-11-28 08:40:00+00:00,421.8,16.63,0,0.95,24.73,145.4,0.0
2019-11-28 08:40:00+00:00,421.8,16.63,0,0.95,24.73,145.4,0.0
2019-11-28 08:41:00+00:00,420.8,16.66,0,0.95,24.71,143.9,0.0
2019-11-28 08:41:00+00:00,420.8,16.66,0,0.95,24.71,143.9,0.0
2019-11-28 08:42:00+00:00,423.6,16.82,0,0.95,24.74,146,0.0
2019-11-28 08:42:00+00:00,423.6,16.82,0,0.95,24.74,146,0.0
2019-11-28 08:43:00+00:00,428.5,17.08,0,0.95,24.75,148.3,0.0
2019-11-28 08:43:00+00:00,428.5,17.08,0,0.95,24.75,148.3,0.0
2019-11-28 08:44:00+00:00,429,17.07,0,0.95,24.75,149,0.0
2019-11-28 08:45:00+00:00,429.9,17.08,0,0.95,24.77,149.6,0.0
2019-11-28 08:45:00+00:00,429.9,17.08,0,0.95,24.77,149.6,0.0
2019-11-28 08:46:00+00:00,429.9,16.94,1.238,1.651,24.78,142.3,0.0
2019-11-28 08:46:00+00:00,429.9,16.94,1.238,1.651,24.78,142.3,0.0
2019-11-28 08:47:00+00:00,429.3,16.95,0,0.95,24.77,136.3,0.0
2019-11-28 08:47:00+00:00,429.3,16.95,0,0.95,24.77,136.3,0.0
2019-11-28 08:48:00+00:00,429.3,17,0,0.95,24.77,135.6,0.0
2019-11-28 08:48:00+00:00,429.3,17,0,0.95,24.77,135.6,0.0
2019-11-28 08:49:00+00:00,430,17.13,0.5715,1.274,24.77,138,0.0
2019-11-28 08:49:00+00:00,430,17.13,0.5715,1.274,24.77,138,0.0
2019-11-28 08:50:00+00:00,430.3,17.3,0,0.95,24.76,146.3,0.0
2019-11-28 08:50:00+00:00,430.3,17.3,0,0.95,24.76,146.3,0.0
2019-11-28 08:51:00+00:00,431.5,17.38,0,0.95,24.74,153.3,0.0
2019-11-28 08:52:00+00:00,432,17.39,0,0.95,24.72,159.4,0.0
2019-11-28 08:52:00+00:00,432,17.39,0,0.95,24.72,159.4,0.0
2019-11-28 08:53:00+00:00,432,17.27,0,0.95,24.72,160.3,0.0
2019-11-28 08:53:00+00:00,432,17.27,0,0.95,24.72,160.3,0.0
2019-11-28 08:54:00+00:00,433.6,17.48,0,0.95,24.75,162.3,0.0
2019-11-28 08:54:00+00:00,433.6,17.48,0,0.95,24.75,162.3,0.0
2019-11-28 08:55:00+00:00,434.5,17.61,0,0.95,24.75,166.7,0.0
2019-11-28 08:55:00+00:00,434.5,17.61,0,0.95,24.75,166.7,0.0
2019-11-28 08:56:00+00:00,438,17.46,0,0.95,24.74,169.9,0.0
2019-11-28 08:56:00+00:00,438,17.46,0,0.95,24.74,169.9,0.0
2019-11-28 08:57:00+00:00,438.3,17.27,0,0.95,24.74,170.3,0.0
2019-11-28 08:57:00+00:00,438.3,17.27,0,0.95,24.74,170.3,0.0
2019-11-28 08:58:00+00:00,437,17.26,0,0.95,24.75,170,0.0
2019-11-28 08:59:00+00:00,436.7,17.34,0,0.95,24.76,171.7,0.0
2019-11-28 08:59:00+00:00,436.7,17.34,0,0.95,24.76,171.7,0.0
2019-11-28 09:00:00+00:00,437.1,17.35,0,0.95,24.75,172.6,0.0
2019-11-28 09:00:00+00:00,437.1,17.35,0,0.95,24.75,172.6,0.0
2019-11-28 09:01:00+00:00,438.1,17.23,0,0.95,24.73,172.5,0.0
2019-11-28 09:01:00+00:00,438.1,17.23,0,0.95,24.73,172.5,0.0
2019-11-28 09:02:00+00:00,437,17.23,1.992,2.078,24.74,171,0.0
2019-11-28 09:02:00+00:00,437,17.23,1.992,2.078,24.74,171,0.0
2019-11-28 09:03:00+00:00,437.6,17.38,1.333,1.705,24.74,175,0.0
2019-11-28 09:03:00+00:00,437.6,17.38,1.333,1.705,24.74,175,0.0
2019-11-28 09:04:00+00:00,437.1,17.16,2.191,2.191,24.74,177.4,0.0
2019-11-28 09:04:00+00:00,437.1,17.16,2.191,2.191,24.74,177.4,0.0
2019-11-28 09:05:00+00:00,439.7,17.29,4.348,4.079,24.73,178.5,0.0
